Item,Product_number,Multiplier_per_box,Recommended_qty_per_order,price,category
Biopatch,160784,1,1,56,602301
Orange Top Specimen Cont.,7003,1,1,322,602000
E-Swab,118901,1,1,0.65,602000
Specimen Bags Small,37433,1,1,22,602000
Specimen Bags Medium,20471,1,1,1.9,602000
Specimen Bags Large,36611,1,1,2.9,602000
Specimen Bags Xtra Large,37439,1,1,49,602000
"Iv Kits ",104738,1,1,1.5,602100
Sterile Gauze Large 4X4,24015,1,1,3,602301
Sterile Gauze Small 2X2,24014,1,1,2,602301
Small Tegaderms,21092,1,1,20,602301
Large Tegaderms,592,1,1,29,602301
"Bandaids ",508,1,1,2,602301
Circle Bandaids,509,1,1,2,602301
Knuckle Bandaids,192834,1,1,4,602301
Fingertip Bandaid,194516,1,1,4,602301
Medipore,48473,1,1,19,602301
Drain Sponge W/Slit,213,1,1,3,602301
"3M Dressing ",48473,1,1,19,602301
"3"" Inch Tape",23984,1,1,6,602301
Telfa,24031,1,1,4.9,602301
Xeroform,20497,1,1,36,602301
1 Inch Silktape,252538,100,100,0.216,602301
Sterile Gauze In Tray,20526,1,1,0.4,602301
Xtra Small Nitrile Gloves,179887,1,10,78,602302
Small Nitrile Gloves,48730,10,1,8,602302
Medium Nitrile Gloves,48731,10,1,8,602302
Large Nitrile Gloves,48732,10,1,8,602302
Xtra Large Nitrile Gloves,48734,10,1,8,602302
"6 Gloves ",65694,1,1,64,602302
6-1/2 Gloves,20711,1,1,64,602302
7 Gloves,20712,1,1,64,602302
7-1/2 Gloves,20713,1,1,64,602302
"8 Gloves ",20714,1,1,64,602302
"Xl Slipper Socks ",24217,1,1,1,602303
"2Xl Slipper Socks ",195096,1,1,1,602303
"3Xl Slipper Socks ",246132,30,1,46,602303
Child Slipper,153611,30,1,19,602303
"Red Blunt Tip Needles ",95567,1,1,7,602303
25G 1-1/2 Eclipse Needle,1341,1,1,15,602303
20G Spinal Needle,1353,1,1,49,602303
22G Spinal Needle,1352,25,1,2.5,602303
"18G Spinal Needle ",20567,1,1,59,602303
"18G Perc Entry Needle ",70028,1,1,4,602303
18Gx15Cm Trocar,153349,1,1,14,602303
18Gx20Cm Trocar,116288,1,1,14,602303
18Gx10Cm Chiba,75124,1,1,10,602303
18Gx15Cm Chiba,75125,1,1,10,602303
18Gx20Cm Chiba,80614,1,1,10,602303
22Gx20Cm Chiba,10448,1,1,10,602303
22Gx15Cm Chiba,39638,1,1,10,602303
20Fr J Thal,39564,1,1,130,602303
Biopince 18Gx10Cm,232269,1,1,355,602303
Biopince 18Gx15Cm,232268,1,1,355,602303
Biopince 18Gx20Cm,232267,1,1,355,602303
Bard Mission 18X10Cm,176164,1,1,190,602303
Bard Mission 18X16Cm,176165,1,1,190,602303
Bard Mission 18X20Cm,176166,1,1,190,602303
Bard Mission 20X10Cm,176218,1,1,190,602303
Bard Mission 20X16Cm,176219,1,1,190,602303
Bard Mission 20X20Cm,176220,1,1,190,602303
Coaxial 17Gx6.8,151079,1,1,59,602303
Coaxial 17Gx11.8,151080,1,1,59,602303
Coaxial 17Gx16.8,160651,1,1,59,602303
Oncontrol 15Gx3.5,159252,1,1,250,602303
Oncontrol 15Gx2.7,159251,1,1,523,602303
Oncontrol 11Gx6,401535,1,1,859,602303
Bone Marrow Trays,401535,1,1,858.5,602303
Osteocore 16Gx12.5,39218,1,1,245,602303
Homer 20Gx7.5Cm,3567,1,1,345,602303
Homer 20Gx10Cm,103518,1,1,345,602303
Short Stops,63216,1,1,60,602303
5 Ml Syringe,1595,1,1,13,602303
10 Ml Syringe,1596,1,1,22,602303
20 Ml Syringe,24237,1,1,0.23,602303
"50 Ml Syringe ",1600,1,1,0.5,602303
"Toumey Syringe ",23803,1,1,55,602303
"Double Medrad ",102083,1,1,250,602303
"Flex Syringe ",235939,1,1,250,602303
Sterile Saline Flush Syringe,109030,1,1,0.9,602303
Saline Flush 10 Ml Syringe,64305,16,1,7.85,602303
"Red Medallion Syringe ",64921,1,1,49,602303
Franseen 9cm X 18G,213801,1,1,80,602303
Franseen 15cm X 18G,213802,1,1,80,602303
Franseen 20cm X 18G,213803,1,1,80,602303
Franseen 15cm X 20G,213804,1,1,80,602303
Franseen 20cm X 20G,252038,1,1,80,602303
Franseen 15cm X 22G,213805,1,1,80,602303
3 Ml Syringe,1594,1,1,13.25,602303
Ivy Leads,233538,1,1,34,602305
Foam Leads,4394,1,1,4,602305
Peds Pads,97318,1,1,23,602305
Osteocore 16Gx7.5,163026,1,1,70,602305
Adultpads,99239,1,1,18,602305
On Control Trays No Needle,159250,1,1,328,602306
Guide Wire J 150Cm,208092,1,1,120,602306
"Peds J Wire ",118013,1,1,13,602306
Amplatz Superstiff .038X180Cm,2198,1,1,175,602306
Amplatz Superstiff .038X145Cm,26285,1,1,175,602306
Amplatz Superstiff .038X75Cm,63206,1,1,175,602306
Safety Scalpel,62822,1,1,16,602308
Scalpel,326,1,1,8,602308
Iv Extension Kit,217088,1,1,1.5,602308
Hubs,217084,1,1,1,602308
Clipper Blade,20545,1,1,"2 ",602308
"Connecting Tubing ",151511,1,1,232,602310
12Fr J Thal,3609,1,1,130,602310
16Fr J Thal,60449,1,1,130,602310
18Fr J Thal,50102,1,1,130,602310
"1Liter Evac Bottle ",22992,1,1,10,602310
"Drain Bulb W/Tubing ",117413,1,1,123,602310
Drain Connection,206088,1,1,2,602310
Spikes Para Bottles,206088,1,1,1.8,602310
"Pleura Vac ",21148,1,1,61,602310
"0 Silk Suture ",1010,1,1,43,602311
"0 Prolene Suture ",1805,1,1,82,602311
Probe Covers U/S,150059,1,1,57,602311
O2 Christmas Tree,1257,1,1,0.3,602314
"Suction Canister ",40272,1,1,1.15,602314
"Suction Tubing 20Ft ",251418,1,1,14,602314
Yankauer,20756,1,1,0.3,602314
"Para Spikes ",85920,1,1,65,602314
"Iv Tubing ",217077,1,1,2.5,602315
Brown Lunch Bags,5293,1,1,0.05,602315
Surgiform,24017,1,1,4.5,602318
Embocube Green 2.5X100,224688,1,1,304,602318
Embocube Green 2.5X50,228790,1,1,304,602318
Torpedo 2.5X10,224689,1,1,330,602318
Torpedo 5X10,224690,1,1,330,602318
Surgifoam,24017,1,1,4.2,602318
16Fr Foley,20742,1,1,20,602319
18Fr Foley,20741,1,1,14,602319
18G Angiocath,199883,1,1,76,602320
20G Angiocath,199882,1,1,77,602320
22G Angiocath,199881,1,1,81,602320
24G Angiocath,199880,1,1,81,602320
"Kelly Clamp ",21296,1,1,1,602321
5Fr Dilator,16976,1,1,8,602321
6Fr Dilator,20942,1,1,8,602321
7Fr Dilator,39637,1,1,8,602321
8Fr Dilator,12344,1,1,8,602321
9Fr Dilator,16484,1,1,8,602321
10fr Dilator,16815,1,1,8,602321
12fr Dilator,16817,1,1,8,602321
14Fr Dilator,16825,1,1,8,602321
16Fr Dilator,62843,1,1,8,602321
Apd 6Fr,233716,1,1,3,602324
Apd 8Fr,233714,1,1,375,602324
Apd 10Fr,233715,1,1,375,602324
Apd 12Fr,233719,1,1,375,602324
Apd 14Fr,233720,1,1,375,602324
Apd 16Fr,233904,1,1,375,602324
Para Kits 5/ Box,95541,1,1,270,602324
5Fr Para Cath Needles,63907,1,1,87,602324
"Biopsy Trays ",238284,1,1,483,602326
"Bone Lesion Biopsy Trays ",168315,1,1,2465,602326
