Item,Product_number,Multiplier_per_box,Recommended_qty_per_order,price
Xtra Small Nitrile Gloves,179887,1,10,78
Small Nitrile Gloves,48730,10,1,8
Medium Nitrile Gloves,48731,10,1,8
Large Nitrile Gloves,48732,10,1,8
Xtra Large Nitrile Gloves,48734,10,1,8
6 Gloves ,65694,1,1,64
6-1/2 Gloves,20711,1,1,64
7 Gloves,20712,1,1,64
7-1/2 Gloves,20713,1,1,64
8 Gloves ,20714,1,1,64
Sterile Gowns,23916,1,1,3
Sterile Gauze Large 4X4,24015,1,1,3
Sterile Gauze Small 2X2,24014,1,1,2
Alcohol Wipes ,518,1,1,2
Green Iv Swabs Prevantics,162051,1,1,11
Small Tegaderms,21092,1,1,20
Large Tegaderms,592,1,1,29
Coban Multicolor,222560,1,1,63
Safety Scalpel,62822,1,1,16
Scalpel,326,1,1,8
Bandaids ,508,1,1,2
Circle Bandaids,509,1,1,2
Knuckle Bandaids,192834,1,1,4
Fingertip Bandaid,194516,1,1,4
Connecting Tubing ,151511,1,1,232
Sterile Markers ,3210,50,1,0.5
Gridlines,98598,1,1,111
Gridlines ,148704,1,1,111
Marker Speed (Bb),99245,1,1,34
Chux ,171958,1,1,32
Bath Cloths,38918,1,1,19
Denture Cups ,1283,1,1,4
Denture Cup Blue ,164401,1,1,11
Urinals,DYND80235S,1,1,0.5
Urine Cups,1815,1,1,1
Bed Pans ,435,1,1,1
Xl Slipper Socks ,24217,1,1,1
2Xl Slipper Socks ,195096,1,1,1
3Xl Slipper Socks ,246132,30,1,46
Child Slipper,153611,30,1,19
Enema Bag,26303,1,1,313
"Enema Ring, Barbiepool",26291,1,1,178
Cold Packs ,237210,10,1,23
Hot Packs ,252321,10,1,15
Transfer Board Sliding,26790,1,1,190
White Emesis Bags,98493,1,1,5
Iodine,24030,1,1,3
Peroxide,100538,1,1,1
Alcohol,117993,1,1,1
Small Chloraprep,87230,1,1,25
Large Chloarprep,96146,1,1,304
Iv Kits ,104738,1,1,1.5
Iv Extension Kit,217088,1,1,1.5
Iv Tegaderms,591,1,1,56
Hubs,217084,1,1,1
Iv Tubing ,217077,1,1,2.5
Kelly Clamp ,21296,1,1,1
Brown Lunch Bags,5293,1,1,0.05
Tissues,85,1,1,0.5
Blueplastic Gowns,1395,1,1,26.5
Boufant Caps,406,1,1,5
Paper Surgical Caps,2010,1,1,10
Shoe Covers ,90,1,1,11.5
Hand Sanitizer Dispenser,230391,1,1,52
Purple Wipes ,154245,1,1,5.5
Bleach Wipes ,159378,1,1,5
Paper Towels ,121,1,1,23
Sit Sling ,98617,1,1,38
White Disposable Chair Slip M/L,98616,1,1,41
White Disposable Chair Slip Xl/Xxl,152966,1,1,624
White Disposable Chair Slip Xxl/Xxxl,152967,1,1,63
Ivy Leads,233538,1,1,34
Foam Leads,4394,1,1,4
Drain Sponge W/Slit,213,1,1,3
3M Dressing ,48473,1,1,19
Torniquets,1094,1,1,15
Yellow Arm Foam ,14389,1,1,83
Blue/White Prone Pillow ,17210,1,1,81
Peds Pads,97318,1,1,23
Peds Arm Board 5X2,26569,1,1,2
Peds Arm Board 9X3,4095,1,1,2
Fuzzy Leg Bag only no connection,20589,1,1,2
Fuzzy Leg Bag Combo ,117156,1,1,231
Surgiform,24017,1,1,4.5
0 Silk Suture ,1010,1,1,43
0 Prolene Suture ,1805,1,1,82
Red Blunt Tip Needles ,95567,1,1,7
25G 1-1/2 Eclipse Needle,1341,1,1,15
20G Spinal Needle,1353,1,1,49
22G Spinal Needle,1352,25,1,2.5
18G Spinal Needle ,20567,1,1,59
18G Perc Entry Needle ,70028,1,1,4
18Gx15Cm Trocar,153349,1,1,14
18Gx20Cm Trocar,116288,1,1,14
18Gx10Cm Chiba,75124,1,1,10
18Gx15Cm Chiba,75125,1,1,10
18Gx20Cm Chiba,80614,1,1,10
22Gx20Cm Chiba,10448,1,1,10
22Gx15Cm Chiba,39638,1,1,10
20Fr J Thal,39564,1,1,130
Biopince 18Gx10Cm,232269,1,1,355
Biopince 18Gx15Cm,232268,1,1,355
Biopince 18Gx20Cm,232267,1,1,355
Bard Mission 18X10Cm,176164,1,1,190
Bard Mission 18X16Cm,176165,1,1,190
Bard Mission 18X20Cm,176166,1,1,190
Bard Mission 20X10Cm,176218,1,1,190
Bard Mission 20X16Cm,176219,1,1,190
Bard Mission 20X20Cm,176220,1,1,190
